timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734671543819,341,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-2,text,false,,899,764,5,5,https://staging.api.tevaera.com/graphql,341,0,227
1734671543820,343,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-3,text,false,,899,764,5,5,https://staging.api.tevaera.com/graphql,343,0,228
1734671543974,345,Graphql HTTP Request,200,OK,setUp Thread Group 1-1,text,true,,7862,276,5,5,https://staging.api.tevaera.com/graphql,344,0,227
1734671544106,343,Graphql HTTP Request,200,OK,setUp Thread Group 1-4,text,true,,7862,276,5,5,https://staging.api.tevaera.com/graphql,343,0,226
1734671544121,344,Graphql HTTP Request,200,OK,setUp Thread Group 1-5,text,true,,7862,276,5,5,https://staging.api.tevaera.com/graphql,343,0,227
1734671544160,347,Graphql HTTP Request,200,OK,setUp Thread Group 1-2,text,true,,7862,276,5,5,https://staging.api.tevaera.com/graphql,347,0,230
1734671544164,345,Graphql HTTP Request,200,OK,setUp Thread Group 1-3,text,true,,7862,276,5,5,https://staging.api.tevaera.com/graphql,345,0,228
1734671544319,345,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-1,text,false,,875,778,5,5,https://staging.api.tevaera.com/graphql,345,0,225
1734671544450,350,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-4,text,false,,875,778,5,5,https://staging.api.tevaera.com/graphql,350,0,230
1734671544465,347,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-5,text,false,,875,778,5,5,https://staging.api.tevaera.com/graphql,346,0,227
1734671544509,345,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-3,text,false,,875,778,5,5,https://staging.api.tevaera.com/graphql,345,0,225
1734671544508,347,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-2,text,false,,875,778,5,5,https://staging.api.tevaera.com/graphql,347,0,226
1734671544664,345,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-1,text,false,,875,769,5,5,https://staging.api.tevaera.com/graphql,344,0,225
1734671544800,345,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-4,text,false,,875,769,5,5,https://staging.api.tevaera.com/graphql,345,0,225
1734671544812,345,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-5,text,false,,875,769,5,5,https://staging.api.tevaera.com/graphql,344,0,224
1734671544854,348,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-3,text,false,,875,769,5,5,https://staging.api.tevaera.com/graphql,348,0,227
1734671544855,348,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-2,text,false,,875,769,5,5,https://staging.api.tevaera.com/graphql,347,0,227
1734671545009,337,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-1,text,false,,899,641,5,5,https://staging.api.tevaera.com/graphql,337,0,224
1734671545145,337,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-4,text,false,,899,641,5,5,https://staging.api.tevaera.com/graphql,337,0,224
1734671545157,339,Graphql HTTP Request,400,Bad Request,setUp Thread Group 1-5,text,false,,899,641,5,5,https://staging.api.tevaera.com/graphql,338,0,225
